sku,name,description,price,Product Category,terms,section,Promotion,Sales Volume
272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,Clothing,jackets,MAN,No,2823
324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169.0,Clothing,jackets,MAN,No,654
335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,Clothing,jackets,MAN,Yes,2220
328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,Clothing,jackets,MAN,Yes,1568
312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139.0,Clothing,jackets,MAN,No,2942
320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,Clothing,jackets,MAN,No,2968
278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,Clothing,jackets,MAN,Yes,952
322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,Clothing,jackets,MAN,No,2421
313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,Clothing,jackets,MAN,Yes,1916
312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,Clothing,jackets,MAN,No,656
